Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,disease,sampling time group,cohort,tissue,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_taxid_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_data_row_count,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,Sample_supplementary_file_1,Series_sample_id
944838_2,GSM5768318,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, control, 13-20 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508550,NONE,GSM5768318
944838_1,GSM5768319,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, control, ≤12 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508549,NONE,GSM5768319
944838_4,GSM5768320,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, control, Post-partum, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508553,NONE,GSM5768320
931746_1,GSM5768321,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, control, ≤12 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508551,NONE,GSM5768321
826701_4,GSM5768322,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, control, Post-partum, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508554,NONE,GSM5768322
662256_1,GSM5768323,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, pre-eclampsia, ≤12 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508555,NONE,GSM5768323
777827_1,GSM5768324,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, severe pre-eclampsia, ≤12 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508556,NONE,GSM5768324
777827_2,GSM5768325,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, severe pre-eclampsia, 13-20 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508557,NONE,GSM5768325
777827_3,GSM5768326,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, severe pre-eclampsia, ≥23 weeks gestation, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508558,NONE,GSM5768326
777827_4,GSM5768327,Public on Jan 03 2022,Jan 02 2022,Jan 03 2022,SRA,1,blood plasma,Homo sapiens, severe pre-eclampsia, Post-partum, Discovery, blood plasma,total RNA,"cfRNA sequencing libraries were prepared with SMARTer Stranded Total RNAseq Kit v2 - Pico Input Mammalian Components (Cat No 634419, Takara) from 4 µL of eluted cfRNA according to the manufacturer’s instructions. Samples were barcoded using SMARTer RNA Unique Dual Index Kit – 96U Set A (Cat No 634452, Takara), and then pooled in an equimolar fashion.",9606,counts_Discovery_postQC.csv,"Supplementary_files_format_and_content: postQC csv files includes counts table for cohort samples (Discovery, Validation1, Validation2) after gene filtering.",GPL24676,"Mira,Noura,Moufarrej",Stephen Quake,Bioengineering,Stanford University,"318 Campus Drive, E300",Stanford,CA,94305,USA,0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13508559,NONE,GSM5768327
